MSISDN,AON,Churn Flag,Avg_Inactive_Days in last 1 month,Current_Balance in INR,Data Days Latest week,Calling Days Latestweek,Recharge Amount Latest Week,Avg_OG_Local_Offnet_Cnt,Avg_OG_Local_Offnet_Cnt,Roaming User,Avergae Complaints Count Last 4 weeks
9828508299,3-6 months,0,13,13,6,3,19,13,10,0,1
9556891612,>18 months,0,16,37,2,3,94,14,3,0,3
8404343639,6-12 months,0,23,14,3,3,77,11,8,0,0
9549079902,12-18 months,0,13,58,2,6,49,16,3,0,1
8208102916,>18 months,0,9,51,7,7,89,5,8,0,3
9557983918,3-6 months,0,12,37,5,2,94,6,6,0,1
8367288808,>18 months,0,4,25,3,4,43,3,18,0,0
8517688345,6-12 months,0,22,60,7,7,57,3,9,0,0
8877112815,12-18 months,0,19,8,3,4,49,14,9,0,2
7866297514,>18 months,0,14,26,3,3,88,9,16,0,2
9192155231,3-6 months,0,23,56,6,7,61,12,19,0,1
8961130238,>18 months,0,21,43,2,5,26,5,14,0,3
9423742421,6-12 months,0,7,47,1,7,55,11,14,0,1
8765482041,12-18 months,0,6,50,1,5,56,14,10,0,1
9692662206,>18 months,0,16,31,4,4,27,15,9,0,0
7860097849,3-6 months,0,10,28,7,5,12,10,11,0,0
9389492645,>18 months,0,24,54,4,4,78,12,15,0,0
9407666900,6-12 months,0,11,23,4,4,37,6,13,1,0
8019803987,12-18 months,0,11,43,6,2,54,15,13,1,3
7955235549,>18 months,0,8,30,5,2,17,14,17,1,0
9249767783,3-6 months,0,4,16,2,2,29,5,7,1,2
9600900388,>18 months,0,8,47,7,7,90,10,12,1,3
8738896145,6-12 months,0,13,1,3,3,61,4,20,0,0
9271763381,12-18 months,0,15,43,7,3,79,6,3,0,1
8672332162,>18 months,0,18,32,5,2,56,8,17,0,1
8266293377,3-6 months,0,20,36,1,7,35,11,19,0,2
8405035802,>18 months,0,11,28,6,4,39,10,7,0,3
8163746397,6-12 months,0,19,55,3,2,73,15,7,0,3
9280327561,12-18 months,0,7,28,6,2,51,3,13,0,2
8360477286,>18 months,0,4,38,7,7,71,3,13,0,0
7840459465,3-6 months,0,23,10,1,5,20,14,20,0,1
8559666383,>18 months,0,16,34,4,3,90,16,11,0,0
8985535651,6-12 months,0,22,54,3,2,81,7,5,0,1
8856987395,12-18 months,0,21,16,1,5,23,6,11,0,0
9324952879,>18 months,0,5,29,1,5,31,15,7,0,3
9318693974,3-6 months,0,9,35,6,3,61,5,15,0,3
9613720249,>18 months,0,15,5,2,7,76,12,16,0,0
8396624159,6-12 months,0,20,36,3,6,31,11,4,0,0
8372189937,12-18 months,0,7,14,3,7,51,15,11,0,0
8653990638,>18 months,0,10,20,4,6,64,9,12,0,1
8530196004,3-6 months,0,6,29,3,5,19,14,8,0,3
8611871847,>18 months,0,20,39,1,4,92,8,12,0,2
7833980632,6-12 months,0,19,35,2,7,50,3,4,0,1
9654254342,12-18 months,0,13,33,1,3,26,5,9,0,1
9227431828,>18 months,0,8,10,2,4,47,15,13,0,1
8385362696,3-6 months,0,17,51,3,6,79,8,14,0,1
8684660611,>18 months,0,25,39,4,7,52,15,11,0,1
7996397762,6-12 months,0,19,40,4,7,46,13,18,0,3
8115770700,12-18 months,0,23,18,3,5,13,12,20,0,3
8933010173,>18 months,0,14,46,7,5,89,8,6,0,0
8434181833,3-6 months,0,23,44,4,4,40,9,7,0,0
9575591806,>18 months,0,16,42,3,4,100,12,4,0,2
8848265891,6-12 months,0,10,2,2,4,43,8,7,0,2
8584583696,12-18 months,0,19,38,6,6,81,10,9,0,1
9411679523,>18 months,0,25,16,4,3,25,5,17,0,3
8326510303,3-6 months,0,13,44,2,3,100,8,19,0,2
9330047091,>18 months,0,9,55,4,5,62,8,7,0,0
8718581607,6-12 months,0,15,15,6,2,93,12,19,0,1
8421767385,12-18 months,0,5,3,5,6,34,13,6,0,3
9862589187,>18 months,0,21,47,4,7,100,15,11,0,1
8530631662,3-6 months,0,7,15,2,5,99,3,6,0,3
8989680608,>18 months,0,19,49,7,2,22,10,8,0,2
8871524100,6-12 months,0,10,39,5,5,37,14,7,0,3
9338341469,12-18 months,0,6,19,4,6,65,10,5,0,1
9506280511,>18 months,0,14,32,7,3,75,14,9,0,2
9828258640,3-6 months,0,21,28,2,5,100,13,8,0,1
9444676894,>18 months,0,8,34,2,6,70,6,7,0,3
8730909993,6-12 months,0,18,60,5,7,66,11,20,0,2
8138049746,12-18 months,0,22,54,6,6,12,11,16,0,0
9205550206,>18 months,0,21,17,5,6,40,6,18,0,1
9271895930,3-6 months,0,23,24,2,3,17,9,19,0,3
9005237031,>18 months,0,22,18,4,7,44,8,18,0,3
8863338194,6-12 months,0,13,12,5,7,58,3,6,0,1
9518550024,12-18 months,0,15,54,5,4,80,13,9,0,1
9354789563,>18 months,0,21,51,2,2,22,16,3,0,0
7998884214,3-6 months,0,20,6,7,3,11,4,12,0,3
8941931664,>18 months,0,23,59,6,7,64,5,16,0,2
8131523740,6-12 months,0,7,54,5,4,93,13,20,0,1
9805472912,12-18 months,0,6,35,6,3,79,16,16,0,0
9504835921,>18 months,0,21,11,2,5,70,15,9,0,1
7857101077,3-6 months,0,23,11,4,6,13,11,9,0,0
7958417983,>18 months,0,21,37,3,6,62,7,6,0,0
9856593949,6-12 months,0,21,11,1,4,61,9,3,0,3
8265479530,12-18 months,0,16,58,6,2,36,11,12,0,3
8641230120,>18 months,0,16,39,5,5,29,13,9,0,0
9389284941,3-6 months,0,7,10,5,7,92,9,6,0,3
8906569674,>18 months,0,17,40,6,5,26,5,6,0,3
7826535840,6-12 months,0,7,21,4,2,37,5,14,0,3
9194312179,12-18 months,0,20,50,3,3,34,5,5,0,3
9867790005,>18 months,0,23,50,1,3,98,16,5,0,3
7837611572,3-6 months,0,9,55,3,5,93,6,13,0,3
8364395730,>18 months,0,5,6,4,6,47,9,10,0,2
8163470625,6-12 months,0,5,36,5,5,85,14,8,0,2
9216639742,12-18 months,0,4,33,6,4,95,11,13,0,2
9461765542,>18 months,0,25,32,5,5,38,9,11,0,0
9610762967,3-6 months,0,14,1,5,3,46,10,9,0,2
7890730609,>18 months,0,12,47,7,6,89,10,4,0,0
9399239498,6-12 months,0,17,56,5,7,72,3,15,0,2
9729223697,12-18 months,0,17,34,4,2,57,7,18,0,2
8717866247,>18 months,0,10,41,6,3,31,12,17,0,2
8698478587,3-6 months,0,25,39,4,5,92,6,14,0,0
8103292017,>18 months,0,5,39,6,5,68,7,5,0,0
8602283162,6-12 months,0,7,46,7,6,90,13,4,0,1
8386846315,12-18 months,0,22,1,2,3,74,6,17,0,0
8646898373,>18 months,0,21,40,2,4,46,9,6,0,3
9852645074,3-6 months,0,7,60,4,4,28,7,9,0,3
9008037584,>18 months,0,17,33,4,7,15,13,5,0,2
9266635847,6-12 months,0,6,8,7,7,37,12,3,0,3
9518470871,12-18 months,0,14,14,6,6,39,7,11,0,3
8994779331,>18 months,0,24,19,2,5,70,10,18,0,0
8256477234,3-6 months,0,23,51,3,6,18,8,14,0,1
8011730532,>18 months,0,25,18,6,7,86,12,20,0,3
8508987150,6-12 months,0,19,29,6,2,29,7,8,0,0
9767664410,12-18 months,0,15,28,5,2,89,11,12,0,1
8197794331,>18 months,0,7,57,3,5,74,9,7,0,1
8326671583,3-6 months,0,8,50,1,2,99,7,15,0,2
8661758208,>18 months,0,15,44,1,4,96,6,17,0,2
8078341216,6-12 months,0,16,4,1,2,29,4,16,0,1
8529490325,12-18 months,0,22,18,5,4,34,15,12,0,1
7825171823,>18 months,0,5,41,4,4,89,12,19,0,3
8752336549,3-6 months,0,22,55,7,4,36,10,17,0,3
9135742345,>18 months,0,22,33,7,3,43,3,14,0,1
9766693142,6-12 months,0,19,6,3,5,33,9,7,0,2
8473804697,12-18 months,0,19,16,3,5,78,6,9,0,1
8781925803,>18 months,0,19,17,7,2,71,12,4,0,2
8269374622,3-6 months,0,16,58,4,2,55,10,12,0,1
9921029450,>18 months,0,21,37,7,3,27,15,4,0,1
8931430272,6-12 months,0,4,17,1,3,30,15,5,0,0
9415488245,12-18 months,0,8,48,3,5,72,10,4,0,0
9549233300,>18 months,0,22,15,2,4,68,10,17,0,0
8364486537,3-6 months,0,12,45,6,2,29,3,16,0,2
8571463584,>18 months,0,13,29,5,4,70,12,12,0,2
8866214865,6-12 months,0,25,56,5,6,52,11,12,0,1
8100035989,12-18 months,0,25,60,5,4,64,7,9,0,0
8439444691,>18 months,0,20,15,2,6,63,3,4,0,0
8656077212,3-6 months,0,25,41,5,7,36,14,18,0,0
9292700808,>18 months,0,20,16,6,6,50,12,16,0,0
9328893030,6-12 months,0,16,35,1,6,37,15,3,0,0
7841326017,12-18 months,0,22,48,2,4,38,12,4,0,0
8804743916,>18 months,0,8,47,3,6,83,15,7,0,1
7924891086,3-6 months,0,11,35,2,5,37,11,4,0,3
7792303924,>18 months,0,20,21,1,7,42,15,16,0,2
8034456920,6-12 months,0,17,49,6,4,28,5,18,0,3
7860390547,12-18 months,0,14,36,3,4,30,8,3,0,0
9760644720,>18 months,0,16,36,1,3,16,5,15,0,3
8654712817,3-6 months,0,8,53,5,5,19,13,10,0,0
9185135390,>18 months,0,24,40,4,4,11,13,6,0,3
9912546736,6-12 months,0,20,47,6,5,97,9,8,0,1
8821640504,12-18 months,0,10,15,5,3,81,4,10,0,2
9165433819,>18 months,0,22,10,2,7,74,12,12,0,3
8146240764,3-6 months,0,22,25,2,5,62,15,9,0,2
9262751352,>18 months,0,4,21,4,2,75,4,8,0,1
9881519661,6-12 months,0,8,10,5,5,59,10,13,0,1
,,,,,,,,,,,
,,,,,,,,,,,
Column Name,Desc,,,,,,,,,,
MSISDN,Mobile Number,,,,,,,,,,
AON,Age on Network,,,,,,,,,,
Churn Flag,Whether a customer who is currently active today will churn out of the network after a week,,,,,,,,,,
Avg_Inactive_Days in last 1 month,Average Number of Inactive days in the last 1 month,,,,,,,,,,
Current_Balance in INR,Current Account Balance,,,,,,,,,,
Data Days Latest week,Data Days,,,,,,,,,,
Calling Days Latestweek,Calling Days,,,,,,,,,,
Recharge Amount Latest Week,Recharge Amount,,,,,,,,,,
Avg_OG_Local_Offnet_Cnt,Average Outgoing Local Offnet Count last 4 weeks,,,,,,,,,,
Avg_OG_Local_Offnet_Cnt,Average Outgoing Local Onnet Count last 4 weeks,,,,,,,,,,
Roaming User,If a person is a roaming user or not,,,,,,,,,,
Avergae Complaints Count Last 4 weeks,Average Complaints Count last 4 weeks,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
